yr_b,distance,yr_a,va_acc,orientation_b,orientation_a
0.0,18.515870701364566,0.03307354455655347,0.6369071077566184,-2.5788657605070053,-1.1224209503823834
0.0,19.130101625095257,0.030391675395166854,0.662172093688113,-2.5788657605070053,-1.1029072872790042
0.0,19.750600802119322,0.027406782216797865,0.6796741556852766,-2.5788657605070053,-1.0849495992751699
0.0,20.3773862624563,0.023566514661816272,0.6699766031563881,-2.5788657605070053,-1.0689676363935234
0.0,21.010345314006017,0.020025009818026993,0.6536981460795671,-2.5788657605070053,-1.0551566811858688
0.0,21.649322909980622,0.01677860716324517,0.6318805942800425,-2.5788657605070053,-1.0433785108651783
0.0,22.294131297073452,0.013497337775382038,0.5952209650246333,-2.5788657605070053,-1.0336078064688152
0.0,22.944503958858785,0.010676706298077227,0.556444241214881,-2.5788657605070053,-1.025736974329309
0.0,23.600145983738575,0.008264775660126365,0.5165775352922696,-2.5788657605070053,-1.0195197595485608
0.0,24.260744246294706,0.006126885871937191,0.47201069860244804,-2.5788657605070053,-1.01476479416786
0.0,24.925950489126297,0.004360137140819996,0.4285108492240935,-2.5788657605070053,-1.0112784969000943
0.0,25.595407513288723,0.0029176808337068702,0.3865276481958854,-2.5788657605070053,-1.0088470768429278
0.0,26.26875779376135,0.0017888259815173175,0.3455991713680558,-2.5788657605070053,-1.0072686196063483
0.0,26.945642372591696,0.0008919529745405021,0.3068264973945107,-2.5788657605070053,-1.006369286803264
0.0,27.625709630121897,0.00019783993614159293,0.2703153471858621,-2.5788657605070053,-1.0060078638147463
0.0,28.308620066418364,-0.0003549310560814271,0.23633816230768073,-2.5788657605070053,-1.0060726296767477
0.0,28.994049878236545,-0.0007332297766942119,0.2046526668528223,-2.5788657605070053,-1.0064565032139798
0.0,29.681689899889662,-0.0009631761140559819,0.17525790262419563,-2.5788657605070053,-1.0070500331278192
0.0,30.3712463114534,-0.0010148090387469846,0.1482157521051837,-2.5788657605070053,-1.0077385320602446
0.0,31.062441933818636,-0.0010051772939892569,0.12342248446730497,-2.5788657605070053,-1.0084423980125106
0.0,31.755019459412097,-0.0009455956922341632,0.10086938001308932,-2.5788657605070053,-1.009122822311661
0.0,32.448742032684926,-0.0008896979410329435,0.07999880862894135,-2.5788657605070053,-1.0097663425023322
0.0,33.14339176871768,-0.0007645844769827082,0.06155475826362901,-2.5788657605070053,-1.010346502424884
0.0,33.838772480391306,-0.0005842675558219443,0.04552041035300452,-2.5788657605070053,-1.0108201439179094
0.0,34.53471829619776,-0.00048680355519856205,0.03470776878652623,-2.5788657605070053,-1.01122102617191
0.0,35.23110156285064,-9.333995104011668e-05,0.02351603334493502,-2.5788657605070053,-1.011430210778422
0.0,35.92779305938728,0.00019332879841194657,0.011942932564246889,-2.5788657605070053,-1.011368319413533
0.0,36.62466970424084,9.777636496262164e-05,0.003927634252866064,-2.5788657605070053,-1.011271087293542
0.0,37.321648037508716,1.519377790930464e-05,-0.0007348765408989006,-2.5788657605070053,-1.011232163070905
0.0,38.01868082450297,-3.390547261532899e-05,-0.0020441320210856265,-2.5788657605070053,-1.0112419053565853
0.0,38.715751882292075,-2.264954166818285e-05,-0.0016512452922366186,-2.5788657605070053,-1.0112620036226891
0.0,39.41286050656497,-1.2443944535227158e-05,-0.0012900778370474033,-2.5788657605070053,-1.0112741198117075
0.0,40.11000716584043,-4.548070229739643e-06,-0.0009606179999420005,-2.5788657605070053,-1.011279927082736
0.0,40.80719221101153,-2.229811082551272e-07,-0.0007170172705724085,-2.5788657605070053,-1.011281525267524
0.0,41.50441561220845,2.988624372934284e-06,-0.000494865132061928,-2.5788657605070053,-1.0112804978908674
0.0,42.201677235233134,5.203009855814315e-06,-0.0002941607973104202,-2.5788657605070053,-1.011277582190977
0.0,42.89897684660197,5.5436623473216394e-06,-0.00015644914618920212,-2.5788657605070053,-1.0112738106131083
0.0,43.59631391527292,5.591838640196889e-06,-3.231819723887049e-05,-2.5788657605070053,-1.0112699055433927
0.0,44.29368783543285,5.387098876754996e-06,7.823182297996162e-05,-2.5788657605070053,-1.0112660574600953
0.0,44.991097936929464,4.587298462305544e-06,0.0001452592003829622,-2.5788657605070053,-1.0112625748006607
0.0,45.68854334105793,3.808097391868186e-06,0.00020438132449669726,-2.5788657605070053,-1.011259643996942
0.0,46.38602313171623,3.055989183416884e-06,0.0002555982706493505,-2.5788657605070053,-1.0112572483923534
0.0,47.0835364404367,2.6078217189922386e-06,0.0003213050830086346,-2.5788657605070053,-1.0112552619570456
0.0,47.78108253869238,2.0373189649071415e-06,0.00037409425010960734,-2.5788657605070053,-1.0112536335947997
0.0,48.478660691065386,1.3839156641855325e-06,0.0004139657835962043,-2.5788657605070053,-1.0112524349904284
0.0,49.176270048856956,3.792377558514139e-07,0.0004074728510790201,-2.5788657605070053,-1.011251833339065
